# 4, 1000
# Nu Energy [MeV] Probability [ ]  
# t               nu_e            nu_e_bar        nu_x            nu_x_bar         
0.0500            8.9105045E-05   9.8746761E-05   1.0004746E+00   1.0001529E+00 
0.1500            -1.5137588E-04   6.5690189E-04   1.0012353E+00   1.0009680E+00 
0.2500            1.2240140E-03   -2.0275560E-04   1.0024554E+00   1.0006583E+00 
0.3500            -5.7024630E-04   9.5328972E-05   1.0020766E+00   1.0015617E+00 
0.4500            -5.0633941E-04   3.2231697E-03   1.0030780E+00   1.0036368E+00 
0.5500            -4.0822046E-04   3.5478865E-03   1.0036393E+00   1.0042989E+00 
0.6500            5.2136650E-03   -5.6754031E-04   1.0055799E+00   1.0059286E+00 
0.7500            7.4752776E-04   -2.4799947E-04   1.0015096E+00   1.0071083E+00 
0.8500            6.5201742E-04   -1.4556929E-03   1.0018763E+00   1.0066819E+00 
0.9500            2.1108640E-03   1.0793246E-03   1.0094043E+00   1.0021665E+00 
1.0500            -1.6874719E-03   -1.0764946E-03   1.0051468E+00   1.0045234E+00 
1.1500            3.1886048E-04   -9.6434072E-05   1.0004381E+00   1.0113291E+00 
1.2500            -7.5926040E-05   1.0010341E-03   1.0120517E+00   1.0010332E+00 
1.3500            -6.0049899E-04   3.7581931E-04   1.0119130E+00   1.0032867E+00 
1.4500            -3.8787792E-04   3.9845101E-03   1.0017705E+00   1.0142817E+00 
1.5500            2.6692701E-03   3.7506652E-03   1.0109002E+00   1.0138186E+00 
1.6500            1.7806759E-03   6.3805370E-03   1.0106634E+00   1.0113974E+00 
1.7500            -8.5783756E-04   3.1041299E-04   1.0170562E+00   1.0011099E+00 
1.8500            -1.2576525E-03   1.2145574E-02   1.0155448E+00   1.0126845E+00 
1.9500            1.1443281E-02   4.0802927E-03   1.0188640E+00   1.0192835E+00 
2.0400            -3.0129465E-03   3.2434246E-03   1.0141298E+00   1.0101125E+00 
2.1500            4.4146041E-03   5.8799055E-05   1.0074731E+00   1.0204341E+00 
2.2500            -2.8176969E-03   7.9101200E-03   1.0197857E+00   1.0079160E+00 
2.3500            2.8608487E-03   8.2177292E-03   1.0196232E+00   1.0119821E+00 
2.4500            1.4957850E-03   2.7742583E-03   1.0256284E+00   1.0028142E+00 
2.5400            1.2876199E-02   3.4146444E-03   1.0238481E+00   1.0221764E+00 
2.6500            -3.4975505E-03   1.8618637E-02   1.0161847E+00   1.0223041E+00 
2.7500            1.4729602E-02   -3.1511248E-03   1.0153169E+00   1.0212582E+00 
2.8500            1.5881247E-03   -1.0537626E-03   1.0030116E+00   1.0268956E+00 
2.9500            1.3502603E-02   -1.7681061E-04   1.0140668E+00   1.0287499E+00 
3.0500            1.0150682E-02   3.4908203E-03   1.0139799E+00   1.0257849E+00 
3.1500            -5.5257232E-03   2.5469842E-02   1.0231995E+00   1.0264835E+00 
3.2500            -3.1003743E-03   -1.9248684E-03   1.0120405E+00   1.0209222E+00 
3.3500            1.6139252E-02   -2.9051234E-03   1.0327889E+00   1.0085806E+00 
3.4500            1.4386887E-02   6.0059668E-03   1.0259580E+00   1.0338653E+00 
3.5500            -4.5124896E-04   3.7027361E-04   1.0357443E+00   1.0003973E+00 
3.6500            -9.2366303E-04   1.4435488E-02   1.0093033E+00   1.0345975E+00 
3.7500            3.2352336E-02   -4.1947753E-03   1.0329164E+00   1.0322401E+00 
3.8500            3.7559439E-03   -6.1510962E-03   1.0161242E+00   1.0252577E+00 
3.9500            -5.1362516E-03   -7.1553869E-04   1.0190939E+00   1.0217948E+00 
4.0500            1.1684227E-03   1.2337310E-02   1.0307148E+00   1.0308637E+00 
4.1500            7.7181343E-03   1.6543377E-02   1.0363397E+00   1.0371747E+00 
4.2500            1.4486102E-02   1.1990890E-02   1.0356063E+00   1.0406004E+00 
4.3400            1.8481022E-02   3.0147532E-03   1.0266349E+00   1.0423093E+00 
4.4500            1.0438886E-02   1.6443356E-03   1.0104472E+00   1.0432184E+00 
4.5500            -3.8079696E-03   1.9973465E-02   1.0106116E+00   1.0432934E+00 
4.6500            -5.1113415E-03   2.0145233E-02   1.0392124E+00   1.0209792E+00 
4.7500            -6.6713106E-03   -4.7416950E-03   1.0329684E+00   1.0118620E+00 
4.8500            3.7330861E-02   -5.3635221E-03   1.0397361E+00   1.0412910E+00 
4.9500            8.5967499E-03   1.5264235E-02   1.0329670E+00   1.0324735E+00 
5.0500            -6.1482184E-03   2.4055212E-02   1.0441335E+00   1.0318685E+00 
5.1500            1.6199674E-02   -7.0506613E-03   1.0182124E+00   1.0424229E+00 
5.2500            9.5640273E-03   1.2210783E-02   1.0498833E+00   1.0190148E+00 
5.3500            2.8230680E-03   8.9311072E-03   1.0338572E+00   1.0409331E+00 
5.4500            2.8324955E-02   -3.1114994E-03   1.0425941E+00   1.0277328E+00 
5.5500            8.3384644E-03   3.3388006E-02   1.0594758E+00   1.0475485E+00 
5.6500            5.2981697E-03   6.8350977E-03   1.0098141E+00   1.0505659E+00 
