# 4, 8000
# PB Time [s]     Sig./DOM [ ]     
# t               nu_e            nu_e_bar        nu_x            nu_x_bar         
-0.999            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.997            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.995            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.993            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.991            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.989            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.987            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.985            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.983            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.981            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.979            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.977            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.975            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.973            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.971            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.969            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.967            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.965            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.963            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.961            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.959            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.957            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.955            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.953            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.951            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.949            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.947            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.945            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.943            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.941            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.939            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.937            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.935            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.933            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.931            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.929            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.927            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.925            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.923            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.921            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.919            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.917            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.915            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.913            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.911            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.909            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.907            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.905            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.903            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.901            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.899            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.897            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.895            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.893            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.891            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.889            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.887            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.885            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.883            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.881            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.879            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.877            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.875            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.873            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.871            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.869            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.867            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.865            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.863            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.861            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.859            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.857            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.855            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.853            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.851            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.849            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.847            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.845            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.843            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.841            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.839            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.837            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.835            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.833            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.831            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.829            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.827            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.825            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.824            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.822            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.820            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.818            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.816            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.813            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.811            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.809            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.807            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.805            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.803            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.801            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.799            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.797            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.795            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.793            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.791            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.789            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.787            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.785            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.783            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.781            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.779            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.777            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.775            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.773            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.771            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.769            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.767            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.765            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.763            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.761            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.759            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.757            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.755            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.753            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.751            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.749            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.747            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.745            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.743            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.741            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.739            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.737            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.735            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.733            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.731            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.729            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.727            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.725            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.723            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.721            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.719            0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
