# 4, 1000
# Nu Energy [MeV] Probability [ ]  
# t               nu_e            nu_e_bar        nu_x            nu_x_bar         
0.0500            1.0000000E+00   9.8746761E-05   0.0000000E+00   1.0001529E+00 
0.1500            1.0000000E+00   6.5690189E-04   0.0000000E+00   1.0009680E+00 
0.2500            1.0000000E+00   -2.0275560E-04   0.0000000E+00   1.0006583E+00 
0.3500            1.0000000E+00   9.5328972E-05   0.0000000E+00   1.0015617E+00 
0.4500            1.0000000E+00   3.2231697E-03   0.0000000E+00   1.0036368E+00 
0.5500            1.0000000E+00   3.5478865E-03   0.0000000E+00   1.0042989E+00 
0.6500            1.0000000E+00   -5.6754031E-04   0.0000000E+00   1.0059286E+00 
0.7500            1.0000000E+00   -2.4799947E-04   0.0000000E+00   1.0071083E+00 
0.8500            1.0000000E+00   -1.4556929E-03   0.0000000E+00   1.0066819E+00 
0.9500            1.0000000E+00   1.0793246E-03   0.0000000E+00   1.0021665E+00 
1.0500            1.0000000E+00   -1.0764946E-03   0.0000000E+00   1.0045234E+00 
1.1500            1.0000000E+00   -9.6434072E-05   0.0000000E+00   1.0113291E+00 
1.2500            1.0000000E+00   1.0010341E-03   0.0000000E+00   1.0010332E+00 
1.3500            1.0000000E+00   3.7581931E-04   0.0000000E+00   1.0032867E+00 
1.4500            1.0000000E+00   3.9845101E-03   0.0000000E+00   1.0142817E+00 
1.5500            1.0000000E+00   3.7506652E-03   0.0000000E+00   1.0138186E+00 
1.6500            1.0000000E+00   6.3805370E-03   0.0000000E+00   1.0113974E+00 
1.7500            1.0000000E+00   3.1041299E-04   0.0000000E+00   1.0011099E+00 
1.8500            1.0000000E+00   1.2145574E-02   0.0000000E+00   1.0126845E+00 
1.9500            1.0000000E+00   4.0802927E-03   0.0000000E+00   1.0192835E+00 
2.0400            1.0000000E+00   3.2434246E-03   0.0000000E+00   1.0101125E+00 
2.1500            1.0000000E+00   5.8799055E-05   0.0000000E+00   1.0204341E+00 
2.2500            1.0000000E+00   7.9101200E-03   0.0000000E+00   1.0079160E+00 
2.3500            1.0000000E+00   8.2177292E-03   0.0000000E+00   1.0119821E+00 
2.4500            1.0000000E+00   2.7742583E-03   0.0000000E+00   1.0028142E+00 
2.5400            1.0000000E+00   3.4146444E-03   0.0000000E+00   1.0221764E+00 
2.6500            1.0000000E+00   1.8618637E-02   0.0000000E+00   1.0223041E+00 
2.7500            1.0000000E+00   -3.1511248E-03   0.0000000E+00   1.0212582E+00 
2.8500            1.0000000E+00   -1.0537626E-03   0.0000000E+00   1.0268956E+00 
2.9500            1.0000000E+00   -1.7681061E-04   0.0000000E+00   1.0287499E+00 
3.0500            1.0000000E+00   3.4908203E-03   0.0000000E+00   1.0257849E+00 
3.1500            1.0000000E+00   2.5469842E-02   0.0000000E+00   1.0264835E+00 
3.2500            1.0000000E+00   -1.9248684E-03   0.0000000E+00   1.0209222E+00 
3.3500            1.0000000E+00   -2.9051234E-03   0.0000000E+00   1.0085806E+00 
3.4500            1.0000000E+00   6.0059668E-03   0.0000000E+00   1.0338653E+00 
3.5500            1.0000000E+00   3.7027361E-04   0.0000000E+00   1.0003973E+00 
3.6500            1.0000000E+00   1.4435488E-02   0.0000000E+00   1.0345975E+00 
3.7500            1.0000000E+00   -4.1947753E-03   0.0000000E+00   1.0322401E+00 
3.8500            1.0000000E+00   -6.1510962E-03   0.0000000E+00   1.0252577E+00 
3.9500            1.0000000E+00   -7.1553869E-04   0.0000000E+00   1.0217948E+00 
4.0500            1.0000000E+00   1.2337310E-02   0.0000000E+00   1.0308637E+00 
4.1500            1.0000000E+00   1.6543377E-02   0.0000000E+00   1.0371747E+00 
4.2500            1.0000000E+00   1.1990890E-02   0.0000000E+00   1.0406004E+00 
4.3400            1.0000000E+00   3.0147532E-03   0.0000000E+00   1.0423093E+00 
4.4500            1.0000000E+00   1.6443356E-03   0.0000000E+00   1.0432184E+00 
4.5500            1.0000000E+00   1.9973465E-02   0.0000000E+00   1.0432934E+00 
4.6500            1.0000000E+00   2.0145233E-02   0.0000000E+00   1.0209792E+00 
4.7500            1.0000000E+00   -4.7416950E-03   0.0000000E+00   1.0118620E+00 
4.8500            1.0000000E+00   -5.3635221E-03   0.0000000E+00   1.0412910E+00 
4.9500            1.0000000E+00   1.5264235E-02   0.0000000E+00   1.0324735E+00 
5.0500            1.0000000E+00   2.4055212E-02   0.0000000E+00   1.0318685E+00 
5.1500            1.0000000E+00   -7.0506613E-03   0.0000000E+00   1.0424229E+00 
5.2500            1.0000000E+00   1.2210783E-02   0.0000000E+00   1.0190148E+00 
5.3500            1.0000000E+00   8.9311072E-03   0.0000000E+00   1.0409331E+00 
5.4500            1.0000000E+00   -3.1114994E-03   0.0000000E+00   1.0277328E+00 
5.5500            1.0000000E+00   3.3388006E-02   0.0000000E+00   1.0475485E+00 
5.6500            1.0000000E+00   6.8350977E-03   0.0000000E+00   1.0505659E+00 
5.7500            1.0000000E+00   2.2144646E-02   0.0000000E+00   1.0312304E+00 
5.8500            1.0000000E+00   1.1349645E-02   0.0000000E+00   1.0570165E+00 
5.9500            1.0000000E+00   1.2904227E-02   0.0000000E+00   1.0266527E+00 
6.0500            1.0000000E+00   2.0888766E-02   0.0000000E+00   1.0580573E+00 
6.1500            1.0000000E+00   9.4978490E-03   0.0000000E+00   1.0401225E+00 
