# 4, 1000
# Nu Energy [MeV] Probability [ ]  
# t               nu_e            nu_e_bar        nu_x            nu_x_bar         
0.0500            8.9105045E-05   1.0000000E+00   1.0004746E+00   0.0000000E+00 
0.1500            -1.5137588E-04   1.0000000E+00   1.0012353E+00   0.0000000E+00 
0.2500            1.2240140E-03   1.0000000E+00   1.0024554E+00   0.0000000E+00 
0.3500            -5.7024630E-04   1.0000000E+00   1.0020766E+00   0.0000000E+00 
0.4500            -5.0633941E-04   1.0000000E+00   1.0030780E+00   0.0000000E+00 
0.5500            -4.0822046E-04   1.0000000E+00   1.0036393E+00   0.0000000E+00 
0.6500            5.2136650E-03   1.0000000E+00   1.0055799E+00   0.0000000E+00 
0.7500            7.4752776E-04   1.0000000E+00   1.0015096E+00   0.0000000E+00 
0.8500            6.5201742E-04   1.0000000E+00   1.0018763E+00   0.0000000E+00 
0.9500            2.1108640E-03   1.0000000E+00   1.0094043E+00   0.0000000E+00 
1.0500            -1.6874719E-03   1.0000000E+00   1.0051468E+00   0.0000000E+00 
1.1500            3.1886048E-04   1.0000000E+00   1.0004381E+00   0.0000000E+00 
1.2500            -7.5926040E-05   1.0000000E+00   1.0120517E+00   0.0000000E+00 
1.3500            -6.0049899E-04   1.0000000E+00   1.0119130E+00   0.0000000E+00 
1.4500            -3.8787792E-04   1.0000000E+00   1.0017705E+00   0.0000000E+00 
1.5500            2.6692701E-03   1.0000000E+00   1.0109002E+00   0.0000000E+00 
1.6500            1.7806759E-03   1.0000000E+00   1.0106634E+00   0.0000000E+00 
1.7500            -8.5783756E-04   1.0000000E+00   1.0170562E+00   0.0000000E+00 
1.8500            -1.2576525E-03   1.0000000E+00   1.0155448E+00   0.0000000E+00 
1.9500            1.1443281E-02   1.0000000E+00   1.0188640E+00   0.0000000E+00 
2.0400            -3.0129465E-03   1.0000000E+00   1.0141298E+00   0.0000000E+00 
2.1500            4.4146041E-03   1.0000000E+00   1.0074731E+00   0.0000000E+00 
2.2500            -2.8176969E-03   1.0000000E+00   1.0197857E+00   0.0000000E+00 
2.3500            2.8608487E-03   1.0000000E+00   1.0196232E+00   0.0000000E+00 
2.4500            1.4957850E-03   1.0000000E+00   1.0256284E+00   0.0000000E+00 
2.5400            1.2876199E-02   1.0000000E+00   1.0238481E+00   0.0000000E+00 
2.6500            -3.4975505E-03   1.0000000E+00   1.0161847E+00   0.0000000E+00 
2.7500            1.4729602E-02   1.0000000E+00   1.0153169E+00   0.0000000E+00 
2.8500            1.5881247E-03   1.0000000E+00   1.0030116E+00   0.0000000E+00 
2.9500            1.3502603E-02   1.0000000E+00   1.0140668E+00   0.0000000E+00 
3.0500            1.0150682E-02   1.0000000E+00   1.0139799E+00   0.0000000E+00 
3.1500            -5.5257232E-03   1.0000000E+00   1.0231995E+00   0.0000000E+00 
3.2500            -3.1003743E-03   1.0000000E+00   1.0120405E+00   0.0000000E+00 
3.3500            1.6139252E-02   1.0000000E+00   1.0327889E+00   0.0000000E+00 
3.4500            1.4386887E-02   1.0000000E+00   1.0259580E+00   0.0000000E+00 
3.5500            -4.5124896E-04   1.0000000E+00   1.0357443E+00   0.0000000E+00 
3.6500            -9.2366303E-04   1.0000000E+00   1.0093033E+00   0.0000000E+00 
3.7500            3.2352336E-02   1.0000000E+00   1.0329164E+00   0.0000000E+00 
3.8500            3.7559439E-03   1.0000000E+00   1.0161242E+00   0.0000000E+00 
3.9500            -5.1362516E-03   1.0000000E+00   1.0190939E+00   0.0000000E+00 
4.0500            1.1684227E-03   1.0000000E+00   1.0307148E+00   0.0000000E+00 
4.1500            7.7181343E-03   1.0000000E+00   1.0363397E+00   0.0000000E+00 
4.2500            1.4486102E-02   1.0000000E+00   1.0356063E+00   0.0000000E+00 
4.3400            1.8481022E-02   1.0000000E+00   1.0266349E+00   0.0000000E+00 
4.4500            1.0438886E-02   1.0000000E+00   1.0104472E+00   0.0000000E+00 
4.5500            -3.8079696E-03   1.0000000E+00   1.0106116E+00   0.0000000E+00 
4.6500            -5.1113415E-03   1.0000000E+00   1.0392124E+00   0.0000000E+00 
4.7500            -6.6713106E-03   1.0000000E+00   1.0329684E+00   0.0000000E+00 
4.8500            3.7330861E-02   1.0000000E+00   1.0397361E+00   0.0000000E+00 
4.9500            8.5967499E-03   1.0000000E+00   1.0329670E+00   0.0000000E+00 
5.0500            -6.1482184E-03   1.0000000E+00   1.0441335E+00   0.0000000E+00 
